,Count,discipline_title,event_title,event_gender,medal_type,participant_type,participant_title,athlete_url,athlete_full_name,country_name,country_code,country_3_letter_code,game_location,game_name,game_season,game_year,top10,horizontal,vertical,top10C,Country_Rank,Year_Rank,Gender_Rank,Medal_Rank
20117,1,Athletics,100m men,Men,BRONZE,Athlete,,https://olympics.com/en/athletes/francis-lane,Francis Lane,USA,US,USA,Greece,Athens 1896,Summer,1896,Athletics,1,1,USA,0.0,0,1,0
20139,1,Athletics,long jump men,Men,BRONZE,Athlete,,,James B. Connolly,USA,US,USA,Greece,Athens 1896,Summer,1896,Athletics,1,1,USA,0.0,0,1,0
20119,1,Athletics,1500m men,Men,SILVER,Athlete,,https://olympics.com/en/athletes/arthur-blake,Arthur Blake,USA,US,USA,Greece,Athens 1896,Summer,1896,Athletics,1,1,USA,0.0,0,1,1
20128,1,Athletics,pole vault men,Men,SILVER,Athlete,,https://olympics.com/en/athletes/albert-tyler,Albert Tyler,USA,US,USA,Greece,Athens 1896,Summer,1896,Athletics,1,1,USA,0.0,0,1,1
20132,1,Athletics,high jump men,Men,SILVER,Athlete,,,Bob Garrett,USA,US,USA,Greece,Athens 1896,Summer,1896,Athletics,1,1,USA,0.0,0,1,1
20133,1,Athletics,high jump men,Men,SILVER,Athlete,,,James B. Connolly,USA,US,USA,Greece,Athens 1896,Summer,1896,Athletics,1,1,USA,0.0,0,1,1
20138,1,Athletics,long jump men,Men,SILVER,Athlete,,,Bob Garrett,USA,US,USA,Greece,Athens 1896,Summer,1896,Athletics,1,1,USA,0.0,0,1,1
20141,1,Athletics,400m men,Men,SILVER,Athlete,,https://olympics.com/en/athletes/herbert-jamison,Herbert Jamison,USA,US,USA,Greece,Athens 1896,Summer,1896,Athletics,1,1,USA,0.0,0,1,1
20190,1,Shooting,25m army pistol men,Men,SILVER,Athlete,,https://olympics.com/en/athletes/sumner-paine,Sumner Paine,USA,US,USA,Greece,Athens 1896,Summer,1896,Shooting,1,2,USA,0.0,0,1,1
20114,1,Athletics,100m men,Men,GOLD,Athlete,,https://olympics.com/en/athletes/thomas-burke,Thomas Burke,USA,US,USA,Greece,Athens 1896,Summer,1896,Athletics,1,1,USA,0.0,0,1,2
20121,1,Athletics,discus throw men,Men,GOLD,Athlete,,,Bob Garrett,USA,US,USA,Greece,Athens 1896,Summer,1896,Athletics,1,1,USA,0.0,0,1,2
20124,1,Athletics,shot put men,Men,GOLD,Athlete,,,Bob Garrett,USA,US,USA,Greece,Athens 1896,Summer,1896,Athletics,1,1,USA,0.0,0,1,2
20127,1,Athletics,pole vault men,Men,GOLD,Athlete,,https://olympics.com/en/athletes/william-welles-hoyt,William Welles Hoyt,USA,US,USA,Greece,Athens 1896,Summer,1896,Athletics,1,1,USA,0.0,0,1,2
20131,1,Athletics,high jump men,Men,GOLD,Athlete,,https://olympics.com/en/athletes/ellery-clark,Ellery Clark,USA,US,USA,Greece,Athens 1896,Summer,1896,Athletics,1,1,USA,0.0,0,1,2
20134,1,Athletics,triple jump men,Men,GOLD,Athlete,,,James B. Connolly,USA,US,USA,Greece,Athens 1896,Summer,1896,Athletics,1,1,USA,0.0,0,1,2
20137,1,Athletics,long jump men,Men,GOLD,Athlete,,https://olympics.com/en/athletes/ellery-clark,Ellery Clark,USA,US,USA,Greece,Athens 1896,Summer,1896,Athletics,1,1,USA,0.0,0,1,2
20140,1,Athletics,400m men,Men,GOLD,Athlete,,https://olympics.com/en/athletes/thomas-burke,Thomas Burke,USA,US,USA,Greece,Athens 1896,Summer,1896,Athletics,1,1,USA,0.0,0,1,2
20143,1,Athletics,110m hurdles men,Men,GOLD,Athlete,,,Tom Curtis,USA,US,USA,Greece,Athens 1896,Summer,1896,Athletics,1,1,USA,0.0,0,1,2
20189,1,Shooting,25m army pistol men,Men,GOLD,Athlete,,,John Paine,USA,US,USA,Greece,Athens 1896,Summer,1896,Shooting,1,2,USA,0.0,0,1,2
20198,1,Shooting,50m pistol 60 shots men,Men,GOLD,Athlete,,https://olympics.com/en/athletes/sumner-paine,Sumner Paine,USA,US,USA,Greece,Athens 1896,Summer,1896,Shooting,1,2,USA,0.0,0,1,2
19968,1,Golf,Individual women,Women,BRONZE,Athlete,,,Abbie Pratt,USA,US,USA,France,Paris 1900,Summer,1900,Other,0,0,USA,0.0,1,0,0
20082,1,Tennis,Singles women,Women,BRONZE,Athlete,,https://olympics.com/en/athletes/marion-jones-1,Marion Jones,USA,US,USA,France,Paris 1900,Summer,1900,Other,0,0,USA,0.0,1,0,0
19967,1,Golf,Individual women,Women,SILVER,Athlete,,,Polly Whittier,USA,US,USA,France,Paris 1900,Summer,1900,Other,0,0,USA,0.0,1,0,1
19966,1,Golf,Individual women,Women,GOLD,Athlete,,https://olympics.com/en/athletes/margaret-ives-abbott,Margaret Ives Abbott,USA,US,USA,France,Paris 1900,Summer,1900,Other,0,0,USA,0.0,1,0,2
19940,1,Cycling Track,Sprint individual men,Men,BRONZE,Athlete,,https://olympics.com/en/athletes/john-henry-lake,John Henry Lake,USA,US,USA,France,Paris 1900,Summer,1900,Other,0,0,USA,0.0,1,1,0
19971,1,Athletics,high jump standing men,Men,BRONZE,Athlete,,https://olympics.com/en/athletes/lewis-pendleton-sheldon,Lewis Pendleton Sheldon,USA,US,USA,France,Paris 1900,Summer,1900,Athletics,1,1,USA,0.0,1,1,0
19980,1,Athletics,800m men,Men,BRONZE,Athlete,,https://olympics.com/en/athletes/david-hall,David Hall,USA,US,USA,France,Paris 1900,Summer,1900,Athletics,1,1,USA,0.0,1,1,0
19983,1,Athletics,triple jump men,Men,BRONZE,Athlete,,https://olympics.com/en/athletes/lewis-pendleton-sheldon,Lewis Pendleton Sheldon,USA,US,USA,France,Paris 1900,Summer,1900,Athletics,1,1,USA,0.0,1,1,0
19989,1,Athletics,200m hurdles men,Men,BRONZE,Athlete,,https://olympics.com/en/athletes/walter-b-john-tewksbury,Walter B. John Tewksbury,USA,US,USA,France,Paris 1900,Summer,1900,Athletics,1,1,USA,0.0,1,1,0
19998,1,Athletics,110m hurdles men,Men,BRONZE,Athlete,,,Fred Moloney,USA,US,USA,France,Paris 1900,Summer,1900,Athletics,1,1,USA,0.0,1,1,0
20001,1,Athletics,1500m men,Men,BRONZE,Athlete,,https://olympics.com/en/athletes/john-bray,John Bray,USA,US,USA,France,Paris 1900,Summer,1900,Athletics,1,1,USA,0.0,1,1,0
20007,1,Athletics,shot put men,Men,BRONZE,Athlete,,,Bob Garrett,USA,US,USA,France,Paris 1900,Summer,1900,Athletics,1,1,USA,0.0,1,1,0
20019,1,Athletics,triple jump standing men,Men,BRONZE,Athlete,,,Bob Garrett,USA,US,USA,France,Paris 1900,Summer,1900,Athletics,1,1,USA,0.0,1,1,0
20028,1,Athletics,hammer throw men,Men,BRONZE,Athlete,,https://olympics.com/en/athletes/josiah-mccracken,Josiah Mccracken,USA,US,USA,France,Paris 1900,Summer,1900,Athletics,1,1,USA,0.0,1,1,0
20031,1,Athletics,discus throw men,Men,BRONZE,Athlete,,https://olympics.com/en/athletes/richard-sheldon,Richard Sheldon,USA,US,USA,France,Paris 1900,Summer,1900,Athletics,1,1,USA,0.0,1,1,0
19970,1,Athletics,high jump standing men,Men,SILVER,Athlete,,https://olympics.com/en/athletes/irving-baxter,Irving Baxter,USA,US,USA,France,Paris 1900,Summer,1900,Athletics,1,1,USA,0.0,1,1,1
19976,1,Athletics,pole vault men,Men,SILVER,Athlete,,https://olympics.com/en/athletes/meredith-bright-colkett,Meredith Bright Colkett,USA,US,USA,France,Paris 1900,Summer,1900,Athletics,1,1,USA,0.0,1,1,1
19979,1,Athletics,800m men,Men,SILVER,Athlete,,https://olympics.com/en/athletes/john-cregan,John Cregan,USA,US,USA,France,Paris 1900,Summer,1900,Athletics,1,1,USA,0.0,1,1,1
19982,1,Athletics,triple jump men,Men,SILVER,Athlete,,,James B. Connolly,USA,US,USA,France,Paris 1900,Summer,1900,Athletics,1,1,USA,0.0,1,1,1
19985,1,Athletics,400m men,Men,SILVER,Athlete,,,Bill Holland,USA,US,USA,France,Paris 1900,Summer,1900,Athletics,1,1,USA,0.0,1,1,1
19994,1,Athletics,long jump men,Men,SILVER,Athlete,,https://olympics.com/en/athletes/meyer-prinstein,Meyer Prinstein,USA,US,USA,France,Paris 1900,Summer,1900,Athletics,1,1,USA,0.0,1,1,1
19997,1,Athletics,110m hurdles men,Men,SILVER,Athlete,,https://olympics.com/en/athletes/john-mclean,John Mclean,USA,US,USA,France,Paris 1900,Summer,1900,Athletics,1,1,USA,0.0,1,1,1
20006,1,Athletics,shot put men,Men,SILVER,Athlete,,https://olympics.com/en/athletes/josiah-mccracken,Josiah Mccracken,USA,US,USA,France,Paris 1900,Summer,1900,Athletics,1,1,USA,0.0,1,1,1
20009,1,Athletics,long jump standing men,Men,SILVER,Athlete,,https://olympics.com/en/athletes/irving-baxter,Irving Baxter,USA,US,USA,France,Paris 1900,Summer,1900,Athletics,1,1,USA,0.0,1,1,1
20018,1,Athletics,triple jump standing men,Men,SILVER,Athlete,,https://olympics.com/en/athletes/irving-baxter,Irving Baxter,USA,US,USA,France,Paris 1900,Summer,1900,Athletics,1,1,USA,0.0,1,1,1
20021,1,Athletics,100m men,Men,SILVER,Athlete,,https://olympics.com/en/athletes/walter-b-john-tewksbury,Walter B. John Tewksbury,USA,US,USA,France,Paris 1900,Summer,1900,Athletics,1,1,USA,0.0,1,1,1
20027,1,Athletics,hammer throw men,Men,SILVER,Athlete,,https://olympics.com/en/athletes/thomas-truxton-hare,Thomas Truxton Hare,USA,US,USA,France,Paris 1900,Summer,1900,Athletics,1,1,USA,0.0,1,1,1
20033,1,Athletics,60m men,Men,SILVER,Athlete,,https://olympics.com/en/athletes/walter-b-john-tewksbury,Walter B. John Tewksbury,USA,US,USA,France,Paris 1900,Summer,1900,Athletics,1,1,USA,0.0,1,1,1
3608,1,Rowing,eight with coxswain 8 men,Men,GOLD,GameTeam,Vesper Boat Club,,,USA,US,USA,France,Paris 1900,Summer,1900,Rowing,2,2,USA,0.0,1,1,2
19963,1,Golf,Individual men,Men,GOLD,Athlete,,https://olympics.com/en/athletes/charles-edward-sands,Charles Edward Sands,USA,US,USA,France,Paris 1900,Summer,1900,Other,0,0,USA,0.0,1,1,2
19969,1,Athletics,high jump standing men,Men,GOLD,Athlete,,https://olympics.com/en/athletes/ray-ewry,Ray Ewry,USA,US,USA,France,Paris 1900,Summer,1900,Athletics,1,1,USA,0.0,1,1,2
19975,1,Athletics,pole vault men,Men,GOLD,Athlete,,https://olympics.com/en/athletes/irving-baxter,Irving Baxter,USA,US,USA,France,Paris 1900,Summer,1900,Athletics,1,1,USA,0.0,1,1,2
19981,1,Athletics,triple jump men,Men,GOLD,Athlete,,https://olympics.com/en/athletes/meyer-prinstein,Meyer Prinstein,USA,US,USA,France,Paris 1900,Summer,1900,Athletics,1,1,USA,0.0,1,1,2
19984,1,Athletics,400m men,Men,GOLD,Athlete,,,Maxey Long,USA,US,USA,France,Paris 1900,Summer,1900,Athletics,1,1,USA,0.0,1,1,2
19987,1,Athletics,200m hurdles men,Men,GOLD,Athlete,,https://olympics.com/en/athletes/alvin-kraenzlein,Alvin Kraenzlein,USA,US,USA,France,Paris 1900,Summer,1900,Athletics,1,1,USA,0.0,1,1,2
19990,1,Athletics,400m hurdles men,Men,GOLD,Athlete,,https://olympics.com/en/athletes/walter-b-john-tewksbury,Walter B. John Tewksbury,USA,US,USA,France,Paris 1900,Summer,1900,Athletics,1,1,USA,0.0,1,1,2
19993,1,Athletics,long jump men,Men,GOLD,Athlete,,https://olympics.com/en/athletes/alvin-kraenzlein,Alvin Kraenzlein,USA,US,USA,France,Paris 1900,Summer,1900,Athletics,1,1,USA,0.0,1,1,2
19996,1,Athletics,110m hurdles men,Men,GOLD,Athlete,,https://olympics.com/en/athletes/alvin-kraenzlein,Alvin Kraenzlein,USA,US,USA,France,Paris 1900,Summer,1900,Athletics,1,1,USA,0.0,1,1,2
20005,1,Athletics,shot put men,Men,GOLD,Athlete,,https://olympics.com/en/athletes/richard-sheldon,Richard Sheldon,USA,US,USA,France,Paris 1900,Summer,1900,Athletics,1,1,USA,0.0,1,1,2
20008,1,Athletics,long jump standing men,Men,GOLD,Athlete,,https://olympics.com/en/athletes/ray-ewry,Ray Ewry,USA,US,USA,France,Paris 1900,Summer,1900,Athletics,1,1,USA,0.0,1,1,2
20011,1,Athletics,high jump men,Men,GOLD,Athlete,,https://olympics.com/en/athletes/irving-baxter,Irving Baxter,USA,US,USA,France,Paris 1900,Summer,1900,Athletics,1,1,USA,0.0,1,1,2
20017,1,Athletics,triple jump standing men,Men,GOLD,Athlete,,https://olympics.com/en/athletes/ray-ewry,Ray Ewry,USA,US,USA,France,Paris 1900,Summer,1900,Athletics,1,1,USA,0.0,1,1,2
20020,1,Athletics,100m men,Men,GOLD,Athlete,,https://olympics.com/en/athletes/francis-jarvis,Francis Jarvis,USA,US,USA,France,Paris 1900,Summer,1900,Athletics,1,1,USA,0.0,1,1,2
20023,1,Athletics,200m men,Men,GOLD,Athlete,,https://olympics.com/en/athletes/walter-b-john-tewksbury,Walter B. John Tewksbury,USA,US,USA,France,Paris 1900,Summer,1900,Athletics,1,1,USA,0.0,1,1,2
20026,1,Athletics,hammer throw men,Men,GOLD,Athlete,,https://olympics.com/en/athletes/john-joseph-flanagan,John Joseph Flanagan,USA,US,USA,France,Paris 1900,Summer,1900,Athletics,1,1,USA,0.0,1,1,2
20032,1,Athletics,60m men,Men,GOLD,Athlete,,https://olympics.com/en/athletes/alvin-kraenzlein,Alvin Kraenzlein,USA,US,USA,France,Paris 1900,Summer,1900,Athletics,1,1,USA,0.0,1,1,2
3591,1,Sailing,3-10t mixed,Open,BRONZE,GameTeam,Frimousse,,,USA,US,USA,France,Paris 1900,Summer,1900,Other,0,0,USA,0.0,1,3,0
3599,1,Sailing,20t + mixed,Open,BRONZE,GameTeam,Formosa,,,USA,US,USA,France,Paris 1900,Summer,1900,Other,0,0,USA,0.0,1,3,0
19904,1,Archery,double national round 60y  50y women,Women,BRONZE,Athlete,,https://olympics.com/en/athletes/eliza-pollock,Eliza Pollock,USA,US,USA,United States,St. Louis 1904,Summer,1904,Other,0,0,USA,0.0,2,0,0
19910,1,Archery,double columbia round 50y  40y  30y women,Women,BRONZE,Athlete,,https://olympics.com/en/athletes/eliza-pollock,Eliza Pollock,USA,US,USA,United States,St. Louis 1904,Summer,1904,Other,0,0,USA,0.0,2,0,0
19903,1,Archery,double national round 60y  50y women,Women,SILVER,Athlete,,https://olympics.com/en/athletes/emma-c-cooke,Emma C. Cooke,USA,US,USA,United States,St. Louis 1904,Summer,1904,Other,0,0,USA,0.0,2,0,1
19909,1,Archery,double columbia round 50y  40y  30y women,Women,SILVER,Athlete,,https://olympics.com/en/athletes/emma-c-cooke,Emma C. Cooke,USA,US,USA,United States,St. Louis 1904,Summer,1904,Other,0,0,USA,0.0,2,0,1
3538,1,Archery,teams FITA round women,Women,GOLD,GameTeam,Cincinnati Archers,,,USA,US,USA,United States,St. Louis 1904,Summer,1904,Other,0,0,USA,0.0,2,0,2
19902,1,Archery,double national round 60y  50y women,Women,GOLD,Athlete,,https://olympics.com/en/athletes/matilda-scott-howell,Matilda Scott Howell,USA,US,USA,United States,St. Louis 1904,Summer,1904,Other,0,0,USA,0.0,2,0,2
19908,1,Archery,double columbia round 50y  40y  30y women,Women,GOLD,Athlete,,https://olympics.com/en/athletes/matilda-scott-howell,Matilda Scott Howell,USA,US,USA,United States,St. Louis 1904,Summer,1904,Other,0,0,USA,0.0,2,0,2
3515,1,Golf,Team men,Men,BRONZE,GameTeam,United States Golf Association #3,,,USA,US,USA,United States,St. Louis 1904,Summer,1904,Other,0,0,USA,0.0,2,1,0
3520,1,Rowing,Coxless Fours Men,Men,BRONZE,GameTeam,Western Rowing Club #3,,,USA,US,USA,United States,St. Louis 1904,Summer,1904,Rowing,2,2,USA,0.0,2,1,0
3526,1,Football,football men,Men,BRONZE,GameTeam,St. Rose #2,,,USA,US,USA,United States,St. Louis 1904,Summer,1904,Other,0,0,USA,0.0,2,1,0
3529,1,Art. Gymn.,"Team All-Around, Apparatus Work and Field Sports Men",Men,BRONZE,GameTeam,"Central Turnverein, Chicago",,,USA,US,USA,United States,St. Louis 1904,Summer,1904,Artistic Gymnastics,4,1,USA,0.0,2,1,0
3534,1,Swimming,4 x 50 yard Freestyle Relay Men,Men,BRONZE,GameTeam,Missouri Athletic Club #3,,,USA,US,USA,United States,St. Louis 1904,Summer,1904,Swimming,2,1,USA,0.0,2,1,0
3537,1,Archery,Team Round Men,Men,BRONZE,GameTeam,Boston Archers,,,USA,US,USA,United States,St. Louis 1904,Summer,1904,Other,0,0,USA,0.0,2,1,0
3544,1,Water Polo,water polo men,Men,BRONZE,GameTeam,Missouri Athletic Club #3,,,USA,US,USA,United States,St. Louis 1904,Summer,1904,Other,0,0,USA,0.0,2,1,0
4461,1,Rowing,Coxless Pairs Men,Men,BRONZE,GameTeam,Western Rowing Club #3,,"['John Joachim', 'Joe Buerger']",USA,US,USA,United States,St. Louis 1904,Summer,1904,Rowing,2,2,USA,0.0,2,1,0
4466,1,Rowing,Double Sculls Men,Men,BRONZE,GameTeam,Independent Rowing Club #3,,"['Joe Ravannack', 'John Wells']",USA,US,USA,United States,St. Louis 1904,Summer,1904,Rowing,2,2,USA,0.0,2,1,0
5020,1,Tennis,doubles men,Men,BRONZE,GameTeam,United States team #3,,"['Allen Tarwater West', 'Joseph Walker Wear']",USA,US,USA,United States,St. Louis 1904,Summer,1904,Other,0,0,USA,0.0,2,1,0
5021,1,Tennis,doubles men,Men,BRONZE,GameTeam,United States team #4,,"['Clarence Olivier Gamble', 'Arthur Yancey Wear']",USA,US,USA,United States,St. Louis 1904,Summer,1904,Other,0,0,USA,0.0,2,1,0
19680,1,Athletics,100m men,Men,BRONZE,Athlete,,,Bill Hogenson,USA,US,USA,United States,St. Louis 1904,Summer,1904,Athletics,1,1,USA,0.0,2,1,0
19683,1,Athletics,800m men,Men,BRONZE,Athlete,,https://olympics.com/en/athletes/emil-breitkreutz,Emil Breitkreutz,USA,US,USA,United States,St. Louis 1904,Summer,1904,Athletics,1,1,USA,0.0,2,1,0
19686,1,Athletics,pole vault men,Men,BRONZE,Athlete,,https://olympics.com/en/athletes/louis-wilkins,Louis Wilkins,USA,US,USA,United States,St. Louis 1904,Summer,1904,Athletics,1,1,USA,0.0,2,1,0
19689,1,Athletics,200m men,Men,BRONZE,Athlete,,,Bill Hogenson,USA,US,USA,United States,St. Louis 1904,Summer,1904,Athletics,1,1,USA,0.0,2,1,0
19692,1,Athletics,200m hurdles men,Men,BRONZE,Athlete,,https://olympics.com/en/athletes/george-poage,George Poage,USA,US,USA,United States,St. Louis 1904,Summer,1904,Athletics,1,1,USA,0.0,2,1,0
19695,1,Athletics,400m hurdles men,Men,BRONZE,Athlete,,https://olympics.com/en/athletes/george-poage,George Poage,USA,US,USA,United States,St. Louis 1904,Summer,1904,Athletics,1,1,USA,0.0,2,1,0
19698,1,Athletics,110m hurdles men,Men,BRONZE,Athlete,,https://olympics.com/en/athletes/lesley-ashburner,Lesley Ashburner,USA,US,USA,United States,St. Louis 1904,Summer,1904,Athletics,1,1,USA,0.0,2,1,0
19704,1,Athletics,long jump men,Men,BRONZE,Athlete,,https://olympics.com/en/athletes/robert-stangland,Robert Stangland,USA,US,USA,United States,St. Louis 1904,Summer,1904,Athletics,1,1,USA,0.0,2,1,0
19707,1,Athletics,400m men,Men,BRONZE,Athlete,,https://olympics.com/en/athletes/herman-groman,Herman Groman,USA,US,USA,United States,St. Louis 1904,Summer,1904,Athletics,1,1,USA,0.0,2,1,0
19710,1,Athletics,60m men,Men,BRONZE,Athlete,,https://olympics.com/en/athletes/fay-moulton,Fay Moulton,USA,US,USA,United States,St. Louis 1904,Summer,1904,Athletics,1,1,USA,0.0,2,1,0
19713,1,Athletics,56lb weight throw 254kg men,Men,BRONZE,Athlete,,,Jim Mitchel,USA,US,USA,United States,St. Louis 1904,Summer,1904,Athletics,1,1,USA,0.0,2,1,0
19716,1,Athletics,triple jump standing men,Men,BRONZE,Athlete,,https://olympics.com/en/athletes/joseph-f-stadler,Joseph F. Stadler,USA,US,USA,United States,St. Louis 1904,Summer,1904,Athletics,1,1,USA,0.0,2,1,0
19719,1,Athletics,long jump standing men,Men,BRONZE,Athlete,,https://olympics.com/en/athletes/john-biller,John Biller,USA,US,USA,United States,St. Louis 1904,Summer,1904,Athletics,1,1,USA,0.0,2,1,0
19722,1,Athletics,shot put men,Men,BRONZE,Athlete,,https://olympics.com/en/athletes/lawrence-e-joseph-feuerbach,Lawrence E. Joseph Feuerbach,USA,US,USA,United States,St. Louis 1904,Summer,1904,Athletics,1,1,USA,0.0,2,1,0
19728,1,Athletics,hammer throw men,Men,BRONZE,Athlete,,https://olympics.com/en/athletes/ralph-rose,Ralph Rose,USA,US,USA,United States,St. Louis 1904,Summer,1904,Athletics,1,1,USA,0.0,2,1,0
19731,1,Athletics,high jump standing men,Men,BRONZE,Athlete,,https://olympics.com/en/athletes/lawson-n-robertson,Lawson N. Robertson,USA,US,USA,United States,St. Louis 1904,Summer,1904,Athletics,1,1,USA,0.0,2,1,0
19734,1,Athletics,marathon men,Men,BRONZE,Athlete,,https://olympics.com/en/athletes/arthur-newton,Arthur Newton,USA,US,USA,United States,St. Louis 1904,Summer,1904,Athletics,1,1,USA,0.0,2,1,0
19737,1,Athletics,1500m men,Men,BRONZE,Athlete,,https://olympics.com/en/athletes/lacey-hearn,Lacey Hearn,USA,US,USA,United States,St. Louis 1904,Summer,1904,Athletics,1,1,USA,0.0,2,1,0
19740,1,Athletics,All-Around Championship Men,Men,BRONZE,Athlete,,https://olympics.com/en/athletes/thomas-truxton-hare,Thomas Truxton Hare,USA,US,USA,United States,St. Louis 1904,Summer,1904,Athletics,1,1,USA,0.0,2,1,0
19743,1,Athletics,3000m steeplechase men,Men,BRONZE,Athlete,,https://olympics.com/en/athletes/arthur-newton,Arthur Newton,USA,US,USA,United States,St. Louis 1904,Summer,1904,Athletics,1,1,USA,0.0,2,1,0
19746,1,Athletics,triple jump men,Men,BRONZE,Athlete,,https://olympics.com/en/athletes/robert-stangland,Robert Stangland,USA,US,USA,United States,St. Louis 1904,Summer,1904,Athletics,1,1,USA,0.0,2,1,0
19749,1,Roque,Individual men,Men,BRONZE,Athlete,,https://olympics.com/en/athletes/charles-brown-1,Charles Brown,USA,US,USA,United States,St. Louis 1904,Summer,1904,Other,0,0,USA,0.0,2,1,0
19752,1,Golf,Individual men,Men,BRONZE,Athlete,,https://olympics.com/en/athletes/burt-p-mckinnie,Burt P. Mckinnie,USA,US,USA,United States,St. Louis 1904,Summer,1904,Other,0,0,USA,0.0,2,1,0
19753,1,Golf,Individual men,Men,BRONZE,Athlete,,https://olympics.com/en/athletes/francis-clement-newton,Francis Clement Newton,USA,US,USA,United States,St. Louis 1904,Summer,1904,Other,0,0,USA,0.0,2,1,0
19756,1,Rowing,single sculls 1x men,Men,BRONZE,Athlete,,https://olympics.com/en/athletes/constance-titus,Constance Titus,USA,US,USA,United States,St. Louis 1904,Summer,1904,Rowing,2,2,USA,0.0,2,1,0
19759,1,Wrestling,"Heavyweight, Freestyle (>158 pounds) Men",Men,BRONZE,Athlete,,,Fred Warmbold,USA,US,USA,United States,St. Louis 1904,Summer,1904,Wrestling,3,1,USA,0.0,2,1,0
19762,1,Wrestling,"Featherweight, Freestyle (≤135 pounds) Men",Men,BRONZE,Athlete,,https://olympics.com/en/athletes/charles-e-clapper,Charles E. Clapper,USA,US,USA,United States,St. Louis 1904,Summer,1904,Wrestling,3,1,USA,0.0,2,1,0
19765,1,Wrestling,"Flyweight, Freestyle (≤115 pounds) Men",Men,BRONZE,Athlete,,https://olympics.com/en/athletes/william-nelson,William Nelson,USA,US,USA,United States,St. Louis 1904,Summer,1904,Wrestling,3,1,USA,0.0,2,1,0
19768,1,Wrestling,"Welterweight, Freestyle (≤158 pounds) Men",Men,BRONZE,Athlete,,https://olympics.com/en/athletes/jerry-winholtz,Jerry Winholtz,USA,US,USA,United States,St. Louis 1904,Summer,1904,Wrestling,3,1,USA,0.0,2,1,0
19774,1,Wrestling,"Bantamweight, Freestyle (≤125 pounds) Men",Men,BRONZE,Athlete,,,Louis Strebler,USA,US,USA,United States,St. Louis 1904,Summer,1904,Wrestling,3,1,USA,0.0,2,1,0
19777,1,Wrestling,"Lightweight, Freestyle (≤145 pounds) Men",Men,BRONZE,Athlete,,,Al Zirkel,USA,US,USA,United States,St. Louis 1904,Summer,1904,Wrestling,3,1,USA,0.0,2,1,0
19786,1,Boxing,5216  567kg featherweight men,Men,BRONZE,Athlete,,,Fred Gilmore,USA,US,USA,United States,St. Louis 1904,Summer,1904,Boxing,5,1,USA,0.0,2,1,0
19789,1,Boxing,7167kg heavyweight men,Men,BRONZE,Athlete,,,Bill Michaels,USA,US,USA,United States,St. Louis 1904,Summer,1904,Boxing,5,1,USA,0.0,2,1,0
19794,1,Boxing,6124  6577kg welterweight men,Men,BRONZE,Athlete,,https://olympics.com/en/athletes/joseph-lydon,Joseph Lydon,USA,US,USA,United States,St. Louis 1904,Summer,1904,Boxing,5,1,USA,0.0,2,1,0
19801,1,Boxing,567  6124kg lightweight men,Men,BRONZE,Athlete,,https://olympics.com/en/athletes/peter-sturholdt,Peter Sturholdt,USA,US,USA,United States,St. Louis 1904,Summer,1904,Boxing,5,1,USA,0.0,2,1,0
19804,1,Tennis,Singles men,Men,BRONZE,Athlete,,https://olympics.com/en/athletes/edgar-welch-leonard,Edgar Welch Leonard,USA,US,USA,United States,St. Louis 1904,Summer,1904,Other,0,0,USA,0.0,2,1,0
19805,1,Tennis,Singles men,Men,BRONZE,Athlete,,https://olympics.com/en/athletes/alphonzo-edward-bell,Alphonzo Edward Bell,USA,US,USA,United States,St. Louis 1904,Summer,1904,Other,0,0,USA,0.0,2,1,0
19811,1,Art. Gymn.,pommel horse men,Men,BRONZE,Athlete,,https://olympics.com/en/athletes/william-merz,William Merz,USA,US,USA,United States,St. Louis 1904,Summer,1904,Artistic Gymnastics,4,1,USA,0.0,2,1,0
19817,1,Art. Gymn.,horizontal bar men,Men,BRONZE,Athlete,,https://olympics.com/en/athletes/george-eyser,George Eyser,USA,US,USA,United States,St. Louis 1904,Summer,1904,Artistic Gymnastics,4,1,USA,0.0,2,1,0
19820,1,Art. Gymn.,parallel bars men,Men,BRONZE,Athlete,,https://olympics.com/en/athletes/john-duha,John Duha,USA,US,USA,United States,St. Louis 1904,Summer,1904,Artistic Gymnastics,4,1,USA,0.0,2,1,0
19823,1,Art. Gymn.,"Individual All-Around, Field Sports Men",Men,BRONZE,Athlete,,https://olympics.com/en/athletes/william-merz,William Merz,USA,US,USA,United States,St. Louis 1904,Summer,1904,Artistic Gymnastics,4,1,USA,0.0,2,1,0
19826,1,Art. Gymn.,club swinging men,Men,BRONZE,Athlete,,https://olympics.com/en/athletes/ralph-wilson,Ralph Wilson,USA,US,USA,United States,St. Louis 1904,Summer,1904,Artistic Gymnastics,4,1,USA,0.0,2,1,0
19829,1,Art. Gymn.,vault men,Men,BRONZE,Athlete,,https://olympics.com/en/athletes/william-merz,William Merz,USA,US,USA,United States,St. Louis 1904,Summer,1904,Artistic Gymnastics,4,1,USA,0.0,2,1,0
19832,1,Art. Gymn.,rings men,Men,BRONZE,Athlete,,,Emil Voigt,USA,US,USA,United States,St. Louis 1904,Summer,1904,Artistic Gymnastics,4,1,USA,0.0,2,1,0
